Elapsed Time: 0.313556 seconds
Elapsed Time: 0.31378 seconds
Elapsed Time: 0.324068 seconds
Elapsed Time: 0.322444 seconds
Elapsed Time: 0.323456 seconds
Elapsed Time: 0.326675 seconds
Elapsed Time: 0.324719 seconds
Elapsed Time: 0.310297 seconds
Elapsed Time: 0.323715 seconds
Elapsed Time: 0.322843 seconds
Elapsed Time: 0.314182 seconds
Elapsed Time: 0.321385 seconds
Elapsed Time: 0.312705 seconds
Elapsed Time: 0.326478 seconds
Elapsed Time: 0.32193 seconds
Elapsed Time: 0.322922 seconds
Elapsed Time: 0.323047 seconds
Elapsed Time: 0.321314 seconds
Elapsed Time: 0.322407 seconds
Elapsed Time: 0.315221 seconds
Elapsed Time: 0.323692 seconds
Elapsed Time: 0.318406 seconds
Elapsed Time: 0.322458 seconds
Elapsed Time: 0.319157 seconds
Elapsed Time: 0.321213 seconds
Elapsed Time: 0.316042 seconds
Elapsed Time: 0.321194 seconds
Elapsed Time: 0.312458 seconds
Elapsed Time: 0.324117 seconds
Elapsed Time: 0.317905 seconds
